field,VARI-Mt,NDVI-Mt,NDRE-Mt,NDMI-Mt,MSAVI-Mt,RECI-Mt,yield
A1,0.0393875,0.4180935,0.30074,0.1818105,0.2874585,1.993039,42
A10,0.053393095,0.4592465,0.37718345,0.2644845,0.2938255,2.4977155,50
A11,0.040144585,0.4812585,0.32086835,0.205112,0.320878,2.959809,49
A12,0.0632055,0.47045,0.333391,0.2321115,0.318482,2.6088425,49.5
A13,0.04262495,0.506704,0.3422805,0.2228105,0.3332925,3.853911,42.5
A14,0.025309,0.5063135,0.3845905,0.243847,0.3092575,3.7960055,43
A15,0.02829905,0.51462,0.364618,0.2263225,0.3166165,4.030629,42.75
A16,0.0201831,0.431762,0.318417,0.2105,0.3269015,2.563653,46.5
A17,0.03089905,0.5125695,0.322305,0.2754045,0.365858,3.9612925,46
A18,0.0311806,0.4899525,0.339114,0.2284045,0.3149105,3.578026,46.25
A19,0.06726805,0.5647025,0.4060975,0.287996,0.365502,6.052116,53
A2,0.0324118,0.410028,0.328677,0.2090145,0.2756065,1.899439,42.25
A20,0.082036,0.5743715,0.4251988,0.290007,0.3758595,6.4291645,52
A21,0.08220015,0.5602525,0.4280552,0.2645045,0.358501,5.904468,52.5
A22,0.0824846,0.504945,0.438893,0.230684,0.331412,3.8813655,52.75
A3,0.0218163,0.3837195,0.2718794,0.16764465,0.3312765,1.83447375,38
A4,0.046257185,0.4737335,0.312572,0.2399165,0.333843,2.9458875,42.5
A5,0.051942,0.474949,0.315869,0.2545865,0.368,2.917642,42.75
A6,0.05947665,0.4485365,0.3153805,0.242708,0.3426065,2.5431785,44
A7,0.0570031,0.4260755,0.282328,0.190377,0.341879,2.276852,40
A8,0.036247,0.4205705,0.301386,0.189162,0.293556,2.9214925,40
A9,0.0383285,0.4649705,0.3066775,0.1878765,0.2939805,2.7510625,43
