field,VARI-Rp,NDVI-Rp,NDRE-Rp,NDMI-Rp,MSAVI-Rp,RECI-Rp,yield
A1,0.1518645,0.792751,0.644466,0.4939365,0.602565,11.713562,42
A10,0.1943034,0.8652965,0.74111795,0.5938139,0.6502975,13.611186,50
A11,0.1990167,0.865696,0.66592,0.5053695,0.647058,13.3649005,49
A12,0.1919454,0.8233045,0.6513325,0.4679105,0.5884955,10.0785105,49.5
A13,0.145119,0.855166,0.683617,0.505297,0.6183065,12.421665,42.5
A14,0.171859,0.871528,0.696179,0.5287925,0.6468145,14.1497125,43
A15,0.17231255,0.830427,0.698903,0.527266,0.677143,15.2564305,42.75
A16,0.14311425,0.7517185,0.526771,0.412985,0.544586,9.703992,46.5
A17,0.1602797,0.81645,0.5452085,0.4428005,0.6137575,11.4532935,46
A18,0.1604305,0.8706265,0.6981405,0.5169295,0.665583,14.0075485,46.25
A19,0.19125,0.8842895,0.72880115,0.5840275,0.724452,16.000596,53
A2,0.172761,0.819904,0.6124855,0.493099,0.5987535,10.1234435,42.25
A20,0.19497085,0.8873805,0.7111305,0.5633168,0.733596,16.0083255,52
A21,0.194054,0.843841,0.713724,0.5585055,0.74126,17.2032265,52.5
A22,0.19263,0.856576,0.7410506,0.59550115,0.681576,13.150181,52.75
A3,0.1150895,0.762963,0.3917625,0.441974,0.512875,8.961172,38
A4,0.166579505,0.8460915,0.657341,0.505364,0.644639,12.041688,42.5
A5,0.1696701,0.8513185,0.6659605,0.503246,0.6526145,12.3322935,42.75
A6,0.1710714,0.8299945,0.651946,0.4972475,0.6173975,10.841338,44
A7,0.1533305,0.792144,0.5610905,0.4768885,0.5836825,9.580413,40
A8,0.14148185,0.8092815,0.6312455,0.5087925,0.577719,13.1065345,40
A9,0.1574044,0.805984,0.663081,0.4936505,0.5833555,12.5633315,43
